"FREQUENCY CHART
Reading Language Arts - Grade 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL UNITS: FOUNDATIONAL SKILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,Topic,TEKS,R/S/NT,Skill,2024,,,,,2023,,,,,2022,,,,,2021,,,,,2019,,,,,2018,,,,,2017,,,,,2016,,,,,2015,,,,,2014,,,,,2013,,,,
Apply Daily,"Listen Actively, Ask Questions, and Respond Appropriately",1A,NT,"Listen actively, ask clarifying questions, and respond appropriately.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Follow and Give Oral Instructions,1B,NT,Follow and give oral instructions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Give an Organized Presentation, and Communicate Ideas Effectively",1C,NT,"Give an organized presentation, and communicate ideas effectively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Participate in Student-Led Discussions,1D,NT,Participate in student-led discussions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Use Print and Digital Resources to Determine Word Meanings,2A,S,Use a dictionary entry to determine a word's meaning in context.,x,,,,,x,,,,,x,,,,,x,,,,,x,x,,,,x,,,,,x,x,,,,x,,,,,x,,,,,x,,,,,x,x,x,,
,Use Context to Determine Word Meanings,2B,R,Use the context to determine a word's meaning.,x,,,,,,,,,,x,x,,,,x,,,,,x,,,,,x,,,,,x,,,,,x,x,,,,x,x,x,x,x,x,x,,,,x,x,x,,
,,,,Select words from the text that help the reader understand a word's meaning.,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,x,,,,,,,,,x,,,,,,,,,
,Use Word Parts to Determine Word Meanings,2C,S,Use Latin roots to determine a word's meaning.,,,,,,x,,,,,x,,,,,x,x,,,,x,,,,,x,,,,,x,,,,,x,,,,,,,,,,x,x,,,,,,,,
,,,,Identify a word that contains a Latin root.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Read Grade-Level Texts with Fluency and Comprehension,3,NT,Read grade-level texts with fluency and comprehension.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Adjust fluency based on the reading purpose.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Read Independently for Sustained Periods of Time ,4,NT,Read grade-appropriate texts independently for a sustained period of time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOUNDATIONS OF READING AND RESPONSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,Topic,TEKS,R/S/NT,Skill,2024,,,,,2023,,,,,2022,,,,,2021,,,,,2019,,,,,2018,,,,,2017,,,,,2016,,,,,2015,,,,,2014,,,,,2013,,,,
1,Set a Purpose for Reading and Monitor Comprehension,3,NT,Read grade-level texts with fluency and comprehension.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Adjust fluency based on the reading purpose.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5A,NT,Establish a purpose for reading. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
