TEK,Skill,2024_0_fall,2024_1_winter,2024_2_field,2024_3_spring,2024_4_staar,2023_0_fall,2023_1_winter,2023_2_field,2023_3_spring,2023_4_staar,2022_0_fall,2022_1_winter,2022_2_field,2022_3_spring,2022_4_staar,2021_0_fall,2021_1_winter,2021_2_field,2021_3_spring,2021_4_staar,2019_0_fall,2019_1_winter,2019_2_field,2019_3_spring,2019_4_staar,2018_0_fall,2018_1_winter,2018_2_field,2018_3_spring,2018_4_staar,2017_0_fall,2017_1_winter,2017_2_field,2017_3_spring,2017_4_staar,2016_0_fall,2016_1_winter,2016_2_field,2016_3_spring,2016_4_staar,2015_0_fall,2015_1_winter,2015_2_field,2015_3_spring,2015_4_staar,2014_0_fall,2014_1_winter,2014_2_field,2014_3_spring,2014_4_staar,2013_0_fall,2013_1_winter,2013_2_field,2013_3_spring
6.1(A) [NT],"Listen actively, ask clarifying questions, and respond appropriately.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1(B) [NT],Follow and give oral instructions.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1(C) [NT],"Give an organized presentation, and communicate ideas effectively.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1(D) [NT],Participate in student-led discussions.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2(A) [S],Use a dictionary entry to determine a word's meaning in context.,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0
6.2(B) [R],Use the context to determine a word's meaning.,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0
6.2(B) [R],Select words from the text that help the reader understand a word's meaning.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.2(C) [S],Use Latin roots to determine a word's meaning.,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6.2(C) [S],Identify a word that contains a Latin root.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3 [NT],Read grade-level texts with fluency and comprehension.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3 [NT],Adjust fluency based on the reading purpose.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4 [NT],Read grade-appropriate texts independently for a sustained period of time.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4 [NT],Read grade-appropriate texts independently for a sustained period of time.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3 [NT],Read grade-level texts with fluency and comprehension.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3 [NT],Adjust fluency based on the reading purpose.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
