period,group,TEK,Skill,Times_tested,Total_weighted_freq,Group_avg_score,Priority,Student_id
1,1,6.2(B) [R],Use the context to determine a word's meaning.,18,0.6565295169946332,0.0,1,30014293.0
1,1,6.2(B) [R],Use the context to determine a word's meaning.,18,0.6565295169946332,0.0,1,30013482.0
1,1,6.2(B) [R],Use the context to determine a word's meaning.,18,0.6565295169946332,0.0,1,30011691.0
1,1,6.2(B) [R],Use the context to determine a word's meaning.,18,0.6565295169946332,0.0,1,30012084.0
1,1,6.5(E) [R],Determine the similarities between texts.,26,0.9212880143112702,0.6666666666666666,2,30014293.0
1,1,6.5(E) [R],Determine the similarities between texts.,26,0.9212880143112702,0.6666666666666666,2,30013482.0
1,1,6.5(E) [R],Determine the similarities between texts.,26,0.9212880143112702,0.6666666666666666,2,30011691.0
1,1,6.5(E) [R],Determine the similarities between texts.,26,0.9212880143112702,0.6666666666666666,2,30012084.0
1,1,6.5(F) [R],"Make an inference about a character, narrator, or speaker based on text evidence.",25,0.8443649373881932,0.6666666666666666,3,30014293.0
1,1,6.5(F) [R],"Make an inference about a character, narrator, or speaker based on text evidence.",25,0.8443649373881932,0.6666666666666666,3,30013482.0
1,1,6.5(F) [R],"Make an inference about a character, narrator, or speaker based on text evidence.",25,0.8443649373881932,0.6666666666666666,3,30011691.0
1,1,6.5(F) [R],"Make an inference about a character, narrator, or speaker based on text evidence.",25,0.8443649373881932,0.6666666666666666,3,30012084.0
1,1,6.10(D.ix) [R],"Edit for correct spelling, including commonly confused terms.",33,1.0,1.0,4,30014293.0
1,1,6.10(D.ix) [R],"Edit for correct spelling, including commonly confused terms.",33,1.0,1.0,4,30013482.0
1,1,6.10(D.ix) [R],"Edit for correct spelling, including commonly confused terms.",33,1.0,1.0,4,30011691.0
1,1,6.10(D.ix) [R],"Edit for correct spelling, including commonly confused terms.",33,1.0,1.0,4,30012084.0
1,1,6.6(C) [R],Use text evidence to support an idea or inference.,27,0.9660107334525939,1.0,5,30014293.0
1,1,6.6(C) [R],Use text evidence to support an idea or inference.,27,0.9660107334525939,1.0,5,30013482.0
1,1,6.6(C) [R],Use text evidence to support an idea or inference.,27,0.9660107334525939,1.0,5,30011691.0
1,1,6.6(C) [R],Use text evidence to support an idea or inference.,27,0.9660107334525939,1.0,5,30012084.0
1,1,6.5(H) [R],Draw a conclusion based on ideas presented throughout the text.,16,0.6869409660107334,0.6666666666666666,6,30014293.0
1,1,6.5(H) [R],Draw a conclusion based on ideas presented throughout the text.,16,0.6869409660107334,0.6666666666666666,6,30013482.0
1,1,6.5(H) [R],Draw a conclusion based on ideas presented throughout the text.,16,0.6869409660107334,0.6666666666666666,6,30011691.0
1,1,6.5(H) [R],Draw a conclusion based on ideas presented throughout the text.,16,0.6869409660107334,0.6666666666666666,6,30012084.0
1,1,6.6(D) [R],Summarize the story.,9,0.5116279069767442,0.3333333333333333,7,30014293.0
1,1,6.6(D) [R],Summarize the story.,9,0.5116279069767442,0.3333333333333333,7,30013482.0
1,1,6.6(D) [R],Summarize the story.,9,0.5116279069767442,0.3333333333333333,7,30011691.0
1,1,6.6(D) [R],Summarize the story.,9,0.5116279069767442,0.3333333333333333,7,30012084.0
1,1,6.10(B.ii) [R],Revise to add supporting details. ,14,0.5867620751341681,0.5,8,30014293.0
1,1,6.10(B.ii) [R],Revise to add supporting details. ,14,0.5867620751341681,0.5,8,30013482.0
1,1,6.10(B.ii) [R],Revise to add supporting details. ,14,0.5867620751341681,0.5,8,30011691.0
1,1,6.10(B.ii) [R],Revise to add supporting details. ,14,0.5867620751341681,0.5,8,30012084.0
1,1,6.9(E) [S],Explain what the reader understands because of the author's use of point of view. ,6,0.3112701252236136,0.0,9,30014293.0
1,1,6.9(E) [S],Explain what the reader understands because of the author's use of point of view. ,6,0.3112701252236136,0.0,9,30013482.0
1,1,6.9(E) [S],Explain what the reader understands because of the author's use of point of view. ,6,0.3112701252236136,0.0,9,30011691.0
1,1,6.9(E) [S],Explain what the reader understands because of the author's use of point of view. ,6,0.3112701252236136,0.0,9,30012084.0
1,1,6.7(C) [R],Determine how the events in the paragraph(s) contribute to the plot.,9,0.4490161001788909,0.5,10,30014293.0
1,1,6.7(C) [R],Determine how the events in the paragraph(s) contribute to the plot.,9,0.4490161001788909,0.5,10,30013482.0
1,1,6.7(C) [R],Determine how the events in the paragraph(s) contribute to the plot.,9,0.4490161001788909,0.5,10,30011691.0
1,1,6.7(C) [R],Determine how the events in the paragraph(s) contribute to the plot.,9,0.4490161001788909,0.5,10,30012084.0
1,1,6.5(G) [R],Determine a key idea in the text.,11,0.4919499105545617,0.6666666666666666,11,30014293.0
1,1,6.5(G) [R],Determine a key idea in the text.,11,0.4919499105545617,0.6666666666666666,11,30013482.0
1,1,6.5(G) [R],Determine a key idea in the text.,11,0.4919499105545617,0.6666666666666666,11,30011691.0
1,1,6.5(G) [R],Determine a key idea in the text.,11,0.4919499105545617,0.6666666666666666,11,30012084.0
1,1,6.8(E.iii) [S],Identify the intended audience or reader.,0,0.0,0.0,12,30014293.0
1,1,6.8(E.iii) [S],Identify the intended audience or reader.,0,0.0,0.0,12,30013482.0
1,1,6.8(E.iii) [S],Identify the intended audience or reader.,0,0.0,0.0,12,30011691.0
1,1,6.8(E.iii) [S],Identify the intended audience or reader.,0,0.0,0.0,12,30012084.0
1,1,6.8(D.ii) [S],Determine what the introduction helps the reader understand. ,2,0.13953488372093023,0.3333333333333333,13,30014293.0
1,1,6.8(D.ii) [S],Determine what the introduction helps the reader understand. ,2,0.13953488372093023,0.3333333333333333,13,30013482.0
1,1,6.8(D.ii) [S],Determine what the introduction helps the reader understand. ,2,0.13953488372093023,0.3333333333333333,13,30011691.0
1,1,6.8(D.ii) [S],Determine what the introduction helps the reader understand. ,2,0.13953488372093023,0.3333333333333333,13,30012084.0
1,1,6.10(D) [S],Edit a draft using standard English conventions. ,6,0.29874776386404295,0.6666666666666666,14,30014293.0
1,1,6.10(D) [S],Edit a draft using standard English conventions. ,6,0.29874776386404295,0.6666666666666666,14,30013482.0
1,1,6.10(D) [S],Edit a draft using standard English conventions. ,6,0.29874776386404295,0.6666666666666666,14,30011691.0
1,1,6.10(D) [S],Edit a draft using standard English conventions. ,6,0.29874776386404295,0.6666666666666666,14,30012084.0
1,1,6.7(A) [S],Infer the theme of the story. ,2,0.11806797853309481,0.3333333333333333,15,30014293.0
1,1,6.7(A) [S],Infer the theme of the story. ,2,0.11806797853309481,0.3333333333333333,15,30013482.0
1,1,6.7(A) [S],Infer the theme of the story. ,2,0.11806797853309481,0.3333333333333333,15,30011691.0
1,1,6.7(A) [S],Infer the theme of the story. ,2,0.11806797853309481,0.3333333333333333,15,30012084.0
1,1,6.8(A) [S],Identify the distinguishing characteristics of fictional texts.,1,0.06797853309481217,0.25,16,30014293.0
1,1,6.8(A) [S],Identify the distinguishing characteristics of fictional texts.,1,0.06797853309481217,0.25,16,30013482.0
1,1,6.8(A) [S],Identify the distinguishing characteristics of fictional texts.,1,0.06797853309481217,0.25,16,30011691.0
1,1,6.8(A) [S],Identify the distinguishing characteristics of fictional texts.,1,0.06797853309481217,0.25,16,30012084.0
1,1,6.9(A) [R],Determine a message the author conveys in the story. ,3,0.17889087656529518,0.5,17,30014293.0
1,1,6.9(A) [R],Determine a message the author conveys in the story. ,3,0.17889087656529518,0.5,17,30013482.0
1,1,6.9(A) [R],Determine a message the author conveys in the story. ,3,0.17889087656529518,0.5,17,30011691.0
1,1,6.9(A) [R],Determine a message the author conveys in the story. ,3,0.17889087656529518,0.5,17,30012084.0
1,1,6.9(D) [S],Explain how the author's use of figurative language contributes to the story. ,6,0.3023255813953488,0.75,18,30014293.0
1,1,6.9(D) [S],Explain how the author's use of figurative language contributes to the story. ,6,0.3023255813953488,0.75,18,30013482.0
1,1,6.9(D) [S],Explain how the author's use of figurative language contributes to the story. ,6,0.3023255813953488,0.75,18,30011691.0
1,1,6.9(D) [S],Explain how the author's use of figurative language contributes to the story. ,6,0.3023255813953488,0.75,18,30012084.0
1,1,6.10(B.i) [R],Determine the best place to insert a sentence. ,7,0.3363148479427549,0.8333333333333334,19,30014293.0
1,1,6.10(B.i) [R],Determine the best place to insert a sentence. ,7,0.3363148479427549,0.8333333333333334,19,30013482.0
1,1,6.10(B.i) [R],Determine the best place to insert a sentence. ,7,0.3363148479427549,0.8333333333333334,19,30011691.0
1,1,6.10(B.i) [R],Determine the best place to insert a sentence. ,7,0.3363148479427549,0.8333333333333334,19,30012084.0
1,1,6.7(B) [R],Analyze how the characters' actions or responses develop the plot.,5,0.27549194991055453,0.75,20,30014293.0
1,1,6.7(B) [R],Analyze how the characters' actions or responses develop the plot.,5,0.27549194991055453,0.75,20,30013482.0
1,1,6.7(B) [R],Analyze how the characters' actions or responses develop the plot.,5,0.27549194991055453,0.75,20,30011691.0
1,1,6.7(B) [R],Analyze how the characters' actions or responses develop the plot.,5,0.27549194991055453,0.75,20,30012084.0
1,1,6.8(D.iii) [S],Describe the organizational pattern used in the selection. ,3,0.17173524150268335,0.6666666666666666,21,30014293.0
1,1,6.8(D.iii) [S],Describe the organizational pattern used in the selection. ,3,0.17173524150268335,0.6666666666666666,21,30013482.0
1,1,6.8(D.iii) [S],Describe the organizational pattern used in the selection. ,3,0.17173524150268335,0.6666666666666666,21,30011691.0
1,1,6.8(D.iii) [S],Describe the organizational pattern used in the selection. ,3,0.17173524150268335,0.6666666666666666,21,30012084.0
1,1,6.11(C) [R],Compose an argumentative text. ,0,0.0,0.5,22,30014293.0
1,1,6.11(C) [R],Compose an argumentative text. ,0,0.0,0.5,22,30013482.0
1,1,6.11(C) [R],Compose an argumentative text. ,0,0.0,0.5,22,30011691.0
1,1,6.11(C) [R],Compose an argumentative text. ,0,0.0,0.5,22,30012084.0
1,1,6.9(F) [S],Determine which sentence conveys a certain mood. ,1,0.07155635062611806,0.6666666666666666,23,30014293.0
1,1,6.9(F) [S],Determine which sentence conveys a certain mood. ,1,0.07155635062611806,0.6666666666666666,23,30013482.0
1,1,6.9(F) [S],Determine which sentence conveys a certain mood. ,1,0.07155635062611806,0.6666666666666666,23,30011691.0
1,1,6.9(F) [S],Determine which sentence conveys a certain mood. ,1,0.07155635062611806,0.6666666666666666,23,30012084.0
1,1,6.9(B) [S],Explain why the author uses a problem-and-solution organizational structure. ,2,0.1252236135957066,0.8333333333333334,24,30014293.0
1,1,6.9(B) [S],Explain why the author uses a problem-and-solution organizational structure. ,2,0.1252236135957066,0.8333333333333334,24,30013482.0
1,1,6.9(B) [S],Explain why the author uses a problem-and-solution organizational structure. ,2,0.1252236135957066,0.8333333333333334,24,30011691.0
1,1,6.9(B) [S],Explain why the author uses a problem-and-solution organizational structure. ,2,0.1252236135957066,0.8333333333333334,24,30012084.0
1,1,6.10(D.viii) [S],Edit for correct use of commas in complex sentences. ,4,0.2003577817531306,1.0,25,30014293.0
