TEK,Skill,Times_tested,Total_weighted_freq,Weighted_avg_score,Combined_score,Priority
6.10(D.ix) [R],"Edit for correct spelling, including commonly confused terms.",1,2795,0.6571428571428571,5589.342857142857,1
6.6(C) [R],Use text evidence to support an idea or inference.,1,2700,0.4117647058823529,5399.588235294118,2
6.5(E) [R],Determine the similarities between texts.,1,2575,0.4931506849315068,5149.506849315068,3
6.5(F) [R],"Make an inference about a character, narrator, or speaker based on text evidence.",1,2360,0.4298130841121496,4719.5701869158875,4
6.5(H) [R],Draw a conclusion based on ideas presented throughout the text.,1,1920,0.3137254901960784,3839.6862745098038,5
6.2(B) [R],Use the context to determine a word's meaning.,0,1835,0.6666666666666666,3669.3333333333335,6
6.2(A) [S],Use a dictionary entry to determine a word's meaning in context.,1,1760,0.8108108108108109,3519.189189189189,7
6.10(D.vii) [S],Edit for correct capitalization.,1,1665,0.7027027027027027,3329.2972972972975,8
6.10(B.ii) [R],Revise to add supporting details. ,1,1640,0.26785714285714285,3279.7321428571427,9
6.2(C) [S],Use Latin roots to determine a word's meaning.,10,1435,0.39607585899152165,2869.6039241410085,10
6.6(D) [R],Summarize the story.,1,1430,0.4672897196261682,2859.532710280374,11
6.5(G) [R],Determine a key idea in the text.,1,1375,0.43859649122807015,2749.561403508772,12
6.10(D.v) [S],Edit for the correct use of pronouns.,11,1305,0.39607585899152165,2609.6039241410085,13
6.7(C) [R],Determine how the events in the paragraph(s) contribute to the plot.,1,1255,0.14035087719298245,2509.8596491228072,14
6.10(B.i) [R],Determine the best place to insert a sentence. ,0,940,0.7352941176470589,1879.264705882353,15
6.9(E) [S],Explain what the reader understands because of the author's use of point of view. ,0,870,0.37254901960784315,1739.6274509803923,16
6.9(D) [S],Explain how the author's use of figurative language contributes to the story. ,1,845,0.7941176470588235,1689.2058823529412,17
6.10(D) [S],Edit a draft using standard English conventions. ,1,835,0.30097087378640774,1669.6990291262136,18
6.7(B) [R],Analyze how the characters' actions or responses develop the plot.,1,770,0.6915887850467289,1539.3084112149534,19
6.10(D.viii) [S],Edit for correct use of commas in complex sentences. ,0,560,0.5098039215686274,1119.4901960784314,20
6.9(C) [S],Explain why the author includes a map in the selection. ,0,520,0.6607142857142857,1039.3392857142858,21
6.9(A) [R],Determine a message the author conveys in the story. ,1,500,0.6323529411764706,999.3676470588235,22
6.8(D.iii) [S],Describe the organizational pattern used in the selection. ,0,480,0.38181818181818183,959.6181818181818,23
6.10(D.ii) [R],Edit for correct use of irregular verbs.,3,420,0.39607585899152165,839.6039241410085,24
6.8(D.ii) [S],Determine what the introduction helps the reader understand. ,1,390,0.45454545454545453,779.5454545454545,25
6.9(B) [S],Explain why the author uses a problem-and-solution organizational structure. ,0,350,0.4607142857142857,699.5392857142857,26
6.7(A) [S],Infer the theme of the story. ,0,330,0.5887850467289719,659.411214953271,27
6.5(C) [S],Make a prediction.,2,275,0.39607585899152165,549.6039241410085,28
6.8(E.ii) [R],Determine how the author supports the argument.,0,260,0.6785714285714286,519.3214285714286,29
6.11(B) [R],Compose an informational text. ,1,200,0.39607585899152165,399.60392414100846,30
6.6(B) [R],Compose an informational text. ,1,200,0.39607585899152165,399.60392414100846,31
6.10(D.iv) [S],Edit for subject-verb agreement with prepositional phrases. ,1,200,0.39607585899152165,399.60392414100846,32
6.9(F) [S],Determine which sentence conveys a certain mood. ,1,200,0.8725490196078431,399.12745098039215,33
6.8(A) [S],Identify the distinguishing characteristics of fictional texts.,0,190,0.45098039215686275,379.54901960784315,34
6.8(D.i) [R],Identify the controlling idea/thesis of the selection.,1,180,0.39607585899152165,359.60392414100846,35
6.12(H.ii) [NT],Determine if an argument is based on faulty reasoning.,1,140,0.39607585899152165,279.60392414100846,36
6.8(B) [S],Identify the distinguishing characteristics of poetry.,0,0,0.22727272727272727,-0.22727272727272727,37
6.8(C) [S],Identify the distinguishing characteristics of drama.,0,0,0.23333333333333334,-0.23333333333333334,38
6.10(C) [R],Revise a draft. ,0,0,0.2549019607843137,-0.2549019607843137,39
6.8(E.iii) [S],Identify the intended audience or reader.,0,0,0.2857142857142857,-0.2857142857142857,40
6.9(G) [S],Explain why the author uses rhetorical devices in the selection.,0,0,0.5428571428571428,-0.5428571428571428,41
6.10(D.i) [R],Edit for complete sentences.,0,0,0.5882352941176471,-0.5882352941176471,42
6.11(C) [R],Compose an argumentative text. ,0,0,0.6428571428571429,-0.6428571428571429,43
6.7(D) [S],Analyze how the setting influences the characters and plot. ,0,0,0.7192982456140351,-0.7192982456140351,44
6.8(E.i) [R],Identify the author's claim.,0,0,0.8303571428571429,-0.8303571428571429,45
